ID,artists,songs,genre
1,Beyonce,Formation,Pop
2,Dance Gavin Dance,Strawberry Swisher pt. 2,Indie
3,Drake,Fake Love,Pop
4,Drake,Fancy,Pop
5,Drake,One Dance,Pop
6,Drake,Passionfruit,Pop
7,Drake,Portland,Pop
8,Drake,The Resistance,Pop
9,Ed Sheeran,Perfect,Pop
10,Eminem,No Love,Hip Hop
11,Eminem,Not Afraid,Hip Hop
12,Hozier,From Eden,Indie
13,Hozier,someone New,Indie
14,Hozier,Take me to Church,Indie
15,Hozier,Work Song,Indie
16,Hunter Hayes,Wanted,Country
17,Imagine Dragons,Thunder,Rock
18,J. Cole,déjà vu,Hip Hop
19,J. Cole,Neighbors,Hip Hop
20,J. Cole,She Knows,Hip Hop
21,J. Cole,Trouble,Hip Hop
22,Kendrick Lamar,Alright,Hip Hop
23,Kendrick Lamar,DNA.,Hip Hop
24,Kendrick Lamar,ELEMENT.,Hip Hop
25,Kendrick Lamar,HUMBLE.,Hip Hop
26,Kendrick Lamar,King Kunta,Hip Hop
27,Lil Pump,Gucci Gang,Hip Hop
28,Luke Bryan,Fast,Country
29,Luke Bryan,Light it Up,Country
30,Luke Bryan,Play It Again,Country
31,Paramore,Hallelujah,Rock
32,Rihanna,Desperado,Pop
33,Rihanna,Lemon,Pop
34,Rihanna,Needed Me,Pop
35,Rihanna,Never Ending,Pop
36,Rihanna,Stay,Pop
37,Rihanna,Work,Pop
38,Sam Smith,Too Good At Goodbyes,Country
39,Sia,Chandelier,Pop
40,Sia,Free Me,Pop
41,Sia,Snowman,Pop
42,Sia,Sunshine,Pop
43,SZA,Love Galore,R&B
44,SZA,Prom,R&B
45,SZA,Supermodel,R&B
46,SZA,The Weekend,R&B
47,The Wombats,Emoticons,Rock
48,The Wombats,Headspace,Rock
49,The Wombats,Isabel,Rock
50,The Wombats,Turn,Rock
