ID,artists,songs,genre
1,Hunter Hayes,Wanted,Country
2,Luke Bryan,Fast,Country
3,Luke Bryan,Light it Up,Country
4,Luke Bryan,Play It Again,Country
5,Sam Smith,Too Good At Goodbyes,Country
6,Eminem,No Love,Hip Hop
7,Eminem,Not Afraid,Hip Hop
8,J. Cole,déjà vu,Hip Hop
9,J. Cole,Neighbors,Hip Hop
10,J. Cole,She Knows,Hip Hop
11,J. Cole,Trouble,Hip Hop
12,Kendrick Lamar,Alright,Hip Hop
13,Kendrick Lamar,DNA.,Hip Hop
14,Kendrick Lamar,ELEMENT.,Hip Hop
15,Kendrick Lamar,HUMBLE.,Hip Hop
16,Kendrick Lamar,King Kunta,Hip Hop
17,Lil Pump,Gucci Gang,Hip Hop
18,Dance Gavin Dance,Strawberry Swisher pt. 2,Indie
19,Hozier,From Eden,Indie
20,Hozier,someone New,Indie
21,Hozier,Take me to Church,Indie
22,Hozier,Work Song,Indie
23,Beyonce,Formation,Pop
24,Drake,Fake Love,Pop
25,Drake,Fancy,Pop
26,Drake,One Dance,Pop
27,Drake,Passionfruit,Pop
28,Drake,Portland,Pop
29,Drake,The Resistance,Pop
30,Ed Sheeran,Perfect,Pop
31,Rihanna,Desperado,Pop
32,Rihanna,Lemon,Pop
33,Rihanna,Needed Me,Pop
34,Rihanna,Never Ending,Pop
35,Rihanna,Stay,Pop
36,Rihanna,Work,Pop
37,Sia,Chandelier,Pop
38,Sia,Free Me,Pop
39,Sia,Snowman,Pop
40,Sia,Sunshine,Pop
41,SZA,Love Galore,R&B
42,SZA,Prom,R&B
43,SZA,Supermodel,R&B
44,SZA,The Weekend,R&B
45,Imagine Dragons,Thunder,Rock
46,Paramore,Hallelujah,Rock
47,The Wombats,Emoticons,Rock
48,The Wombats,Headspace,Rock
49,The Wombats,Isabel,Rock
50,The Wombats,Turn,Rock
