ID,artists,songs,genre
1,Sia,Chandelier,Pop
2,Kendrick Lamar,Alright,Hip Hop
3,J. Cole,déjà vu,Hip Hop
4,Rihanna,Desperado,Pop
5,Kendrick Lamar,DNA.,Hip Hop
6,Kendrick Lamar,ELEMENT.,Hip Hop
7,The Wombats,Emoticons,Rock
8,Drake,Fake Love,Pop
9,Drake,Fancy,Pop
10,Luke Bryan,Fast,Country
11,Beyonce,Formation,Pop
12,Sia,Free Me,Pop
13,Hozier,From Eden,Indie
14,Lil Pump,Gucci Gang,Hip Hop
15,Paramore,Hallelujah,Rock
16,The Wombats,Headspace,Rock
17,Kendrick Lamar,HUMBLE.,Hip Hop
18,The Wombats,Isabel,Rock
19,Kendrick Lamar,King Kunta,Hip Hop
20,Rihanna,Lemon,Pop
21,Luke Bryan,Light it Up,Country
22,SZA,Love Galore,R&B
23,Rihanna,Needed Me,Pop
24,J. Cole,Neighbors,Hip Hop
25,Rihanna,Never Ending,Pop
26,Eminem,No Love,Hip Hop
27,Eminem,Not Afraid,Hip Hop
28,Drake,One Dance,Pop
29,Drake,Passionfruit,Pop
30,Ed Sheeran,Perfect,Pop
31,Luke Bryan,Play It Again,Country
32,Drake,Portland,Pop
33,SZA,Prom,R&B
34,J. Cole,She Knows,Hip Hop
35,Sia,Snowman,Pop
36,Hozier,someone New,Indie
37,Rihanna,Stay,Pop
38,Dance Gavin Dance,Strawberry Swisher pt. 2,Indie
39,Sia,Sunshine,Pop
40,SZA,Supermodel,R&B
41,Hozier,Take me to Church,Indie
42,Drake,The Resistance,Pop
43,SZA,The Weekend,R&B
44,Imagine Dragons,Thunder,Rock
45,Sam Smith,Too Good At Goodbyes,Country
46,J. Cole,Trouble,Hip Hop
47,The Wombats,Turn,Rock
48,Hunter Hayes,Wanted,Country
49,Rihanna,Work,Pop
50,Hozier,Work Song,Indie
